"","time","date","st10","mp10","st20","mp20","st30","mp30","st60","mp60","st100","mp100","st150","mp150","eh10a","eh10b","eh10c","eh20a","eh20b","eh20c","eh30a","eh30b","eh30c","eh60a","eh60b","eh60c","eh100a","eh100b","eh100c","eh150a","eh150b","eh150c","wd","ws","at","rh","ap","pp","sr","wt","ec","bat","lt","x44","pp_2","wt_2","oxy10","oxy20","oxy30","oxy60","oxy80","oxy100","oxy125","oxy150","bat_oxy"
"164",164,2010-04-07 19:00:00,9.44,0,7.94,0,7.28,0,6.54,0,6.02,0,5.84,0,449.58,442.96,435.88,442.17,444.94,464.97,40.53,405.97,75.53,-141.7,-175.45,-121.3,-68.02,52.41,-198.53,-301.06,-348.84,-389.48,127,1.6,13.7,63.2,1018.9,28.8,8.12949,166.145,0.560793,NA,NA,NA,"0",-33.855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",165,2010-04-07 20:00:00,9.31,0,8.01,0,7.33,0,6.5,0,6.05,0,5.88,0,450.07,443.03,436.18,442.09,445.15,464.9,40.4,406.5,75.08,-141.23,-175.94,-121.39,-68.32,52.33,-198.5,-301.15,-348.88,-389.41,138,1.3,11.9,66.8,1019.3,28.8,0.0314587,166.078,0.56179,12.698,13.22,NA,"0",-33.922,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,2010-04-07 21:00:00,9.13,0,7.97,0,7.36,0,6.49,0,6.03,0,5.88,0,450.94,443.39,436.78,442.11,445.48,464.93,39.93,406.96,74.57,-144.25,-176.1,-121.36,-68.12,52.32,-198.61,-301.17,-349.22,-389.44,139,1.1,11.5,69,1019.6,28.8,0.0326938,166.031,0.561973,NA,NA,NA,"0",-33.969,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,2010-04-07 22:00:00,9,0,8.05,0,7.42,0,6.53,0,6.04,0,5.89,0,451.53,443.62,437.29,442.15,445.71,464.92,39.14,407.35,74.19,-143.5,-176.48,-121.52,-68.48,52.14,-198.76,-301.26,-349.29,-389.56,129,1.1,11.6,66.8,1019.8,28.8,0.0283665,165.99,0.562337,NA,NA,NA,"0",-34.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,2010-04-07 23:00:00,8.89,0,8.09,0,7.46,0,6.54,0,6.02,0,5.9,0,451.87,443.68,437.6,442.03,445.78,464.74,38.31,407.77,73.62,-143.52,-177.13,-121.53,-68.82,52.07,-198.73,-300.76,-349.26,-389.51,139,1.5,11.1,67.1,1019.9,28.8,0.0304959,165.95,0.562378,NA,NA,NA,"0",-34.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,2010-04-08 00:00:00,8.76,0,8.01,0,7.5,0,6.54,0,6.05,0,5.94,0,452.53,444.08,438.15,442.1,446.04,464.92,37.5,408.32,73.09,-147.18,-177.68,-121.56,-69.1,52.05,-198.79,-300.21,-349.17,-389.51,143,1.6,10.8,68.2,1019.9,28.8,0.0301522,165.906,0.562373,NA,NA,NA,"0",-34.094,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,2010-04-08 01:00:00,8.7,0,8.04,0,7.55,0,6.54,0,6.03,0,5.87,0,452.97,444.23,438.53,442.1,446.16,464.96,37.56,408.65,72.56,-148.45,-178.18,-121.65,-69.44,51.97,-198.98,-300.24,-349.24,-389.46,160,1.7,9.6,77.7,1019.9,28.8,0.0270607,165.901,0.562457,12.538,10.59,NA,"0",-34.099,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,2010-04-08 02:00:00,8.56,0,8.01,0,7.57,0,6.57,0,6.05,0,5.89,0,453.55,444.47,438.92,442.13,446.17,465.04,37.65,408.97,72,-148.71,-178.98,-121.69,-69.76,51.97,-199.09,-300.09,-349.2,-389.43,152,2.2,9.3,78.1,1019.8,28.8,0.0300821,165.869,0.562427,12.508,9.75,NA,"0",-34.131,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,2010-04-08 03:00:00,8.46,0,7.97,0,7.55,0,6.56,0,6.07,0,5.86,0,454.04,444.68,439.3,442.15,446.05,465.12,37.44,409.19,71.47,-149.31,-178.92,-121.76,-70.1,51.88,-199.15,-299.93,-349.28,-389.45,155,1.4,8.8,79,1020,28.8,0.0256182,165.821,0.562263,NA,NA,NA,"0",-34.179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,2010-04-08 04:00:00,8.33,0,7.92,0,7.56,0,6.55,0,6.06,0,5.9,0,454.47,444.75,439.59,442.08,445.8,465.13,37.44,409.59,70.88,-148.42,-179.4,-121.86,-70.41,51.8,-199.28,-299.31,-349.27,-389.47,169,0.6,7.8,83.7,1020.1,28.8,0.0319359,165.799,0.562569,NA,NA,NA,"0",-34.201,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,2010-04-08 05:00:00,8.18,0,7.92,0,7.56,0,6.6,0,6.06,0,5.91,0,455.45,445.12,440.15,442.23,445.94,465.35,37.33,410.09,70.5,-150.43,-179.95,-121.93,-70.94,51.59,-199.44,-299.28,-349.15,-389.54,225,0.7,7.1,85.7,1020.4,28.8,0.0411377,165.762,0.562676,NA,NA,NA,"0",-34.238,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,2010-04-08 06:00:00,8.06,0,7.88,0,7.57,0,6.61,0,6.11,0,5.93,0,456.19,445.24,440.47,442.25,446.29,465.48,37.31,410.59,70.19,-153.66,-180.06,-122.03,-71.03,51.8,-199.44,-299.29,-348.67,-389.47,148,0.4,6.4,89.6,1021,28.8,16.788,165.688,0.562803,NA,NA,NA,"0",-34.312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,2010-04-08 07:00:00,7.86,0,7.9,0,7.55,0,6.62,0,6.06,0,5.89,0,456.87,445.62,440.95,442.46,446.8,465.76,37.19,411.1,69.77,-152.92,-180.43,-122.13,-71.44,51.73,-199.5,-298.76,-347.93,-389.56,287,2.3,8.4,89.5,1021.8,28.8,82.3723,165.574,0.563058,13.04,7.34,NA,"0",-34.426,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,2010-04-08 08:00:00,7.9,0,7.78,0,7.56,0,6.6,0,6.05,0,5.94,0,456.38,445.67,441.17,442.53,447.07,465.93,36.62,411.39,69.33,-335,-181.09,-122.36,-71.86,51.35,-200.06,-299.32,-347.07,-389.62,322,1.6,9,85.2,1022.2,28.8,100.725,165.526,0.563394,13.311,9.68,NA,"0",-34.474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",178,2010-04-08 09:00:00,8.03,0,7.77,0,7.55,0,6.59,0,6.09,0,5.89,0,455.1,445.57,441.07,442.43,447.06,465.98,36.04,411.67,68.78,-213.86,-181.44,-122.58,-72.08,51.11,-200.09,-299.32,-347.13,-389.67,291,1.6,9.8,81.2,1022.8,28.8,126.32,165.444,0.563494,NA,NA,NA,"0",-34.556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,2010-04-08 10:00:00,8.18,0,7.8,0,7.59,0,6.64,0,6.1,0,5.93,0,453.7,445.75,441.17,442.64,447.37,466.31,35.7,412.06,68.53,-192.27,-182.08,-122.56,-71.89,51.4,-199.87,-298.88,-347.22,-389.44,307,2.6,10.1,77.7,1023.3,28.8,150.606,165.412,0.562617,NA,NA,NA,"0",-34.588,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,2010-04-08 11:00:00,8.44,0,7.73,0,7.54,0,6.67,0,6.11,0,5.92,0,453.05,445.77,441.08,442.73,447.46,466.39,35.14,412.3,68.34,-182.06,-183.23,-122.72,-72.09,51.16,-200.17,-298.25,-347.6,-389.43,285,3.5,10.7,78.2,1023.9,28.8,109.104,165.357,0.562346,NA,NA,NA,"0.03",-34.643,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",181,2010-04-08 12:00:00,8.63,0,7.77,0,7.5,0,6.69,0,6.09,0,5.9,0,452.48,445.42,440.74,442.6,447.25,466.22,34.33,412.38,67.68,-176.75,-183.6,-123.2,-72.58,50.84,-200.7,-298.81,-348.29,-389.6,334,2.2,9.4,87,1024.4,28.83,225.12,165.345,0.563291,NA,NA,NA,"0",-34.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",182,2010-04-08 13:00:00,8.71,0,7.76,0,7.53,0,6.67,0,6.06,0,5.92,0,452.05,445.5,440.69,442.87,447.47,466.46,33.94,413.02,67.51,-173.49,-183.65,-123.21,-72.7,50.91,-200.53,-298.64,-347.74,-389.45,348,2.4,10.3,84.8,1024.8,28.83,495.457,165.287,0.562943,13.04,12.75,NA,"0",-34.713,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",183,2010-04-08 14:00:00,8.99,0,7.85,0,7.52,0,6.68,0,6.08,0,5.85,0,450.7,445.47,440.45,442.92,447.49,466.48,33.28,413.42,67.23,-172.31,-184.24,-123.34,-71.96,50.7,-200.59,-298.47,-347.81,-389.49,304,4,9.7,83.5,1025.2,28.83,213.606,165.287,0.562243,13.01,15.22,NA,"0",-34.713,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,2010-04-08 15:00:00,9.2,0,7.89,0,7.55,0,6.64,0,6.11,0,5.92,0,450.12,445.37,440.2,442.97,447.46,466.48,32.98,413.73,67,-170.73,-184.49,-123.44,-72.6,50.84,-200.67,-297.77,-347.89,-389.31,323,3,9.9,81.5,1025.5,28.83,123.229,165.299,0.562671,NA,NA,NA,"0",-34.701,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",185,2010-04-08 16:00:00,9.3,0,7.97,0,7.52,0,6.68,0,6.13,0,5.94,0,449.74,445.02,439.89,442.73,447.12,466.21,32.94,413.53,66.25,-170.83,-185.37,-123.85,-73.45,50.48,-200.95,-297.24,-347.73,-389.66,313,4,9.3,82.3,1026,28.83,138.729,165.189,0.562448,NA,NA,NA,"0",-34.811,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",186,2010-04-08 17:00:00,9.34,0,8.06,0,7.58,0,6.7,0,6.1,0,5.92,0,450.05,444.81,439.79,442.63,446.97,466.03,32.99,413.69,65.78,-171.3,-186.39,-124.08,-74.01,50.27,-201.29,-296.75,-348.18,-389.72,355,2.9,7.8,85.4,1026.7,28.83,47.7498,165.205,0.563222,NA,NA,NA,"0",-34.795,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",187,2010-04-08 18:00:00,9.21,0,8.1,0,7.6,0,6.74,0,6.17,0,5.99,0,451.23,445.12,440.16,442.78,447.04,466.08,33.12,414.07,65.33,-171.78,-186.49,-124.19,-74.46,50.16,-201.35,-295.99,-348.28,-389.62,311,3.5,7,85.7,1027.1,28.83,76.0026,165.097,0.563509,NA,NA,NA,"0",-34.903,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",188,2010-04-08 19:00:00,9.05,0,8.14,0,7.61,0,6.71,0,6.13,0,5.96,0,452.59,445.42,440.62,442.95,447.18,466.24,33.43,414.54,65.13,-172.28,-187.22,-124.14,-74.69,50.29,-201.28,-295.51,-348.13,-389.44,286,4.8,5.2,93.7,1027.5,28.83,8.30031,165.1,0.563304,12.683,8.69,NA,"0",-34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",189,2010-04-08 20:00:00,8.72,0,8.22,0,7.7,0,6.75,0,6.1,0,5.98,0,454.21,445.67,441.03,443.05,447.29,466.43,33.23,414.88,64.65,-172.87,-187.52,-124.18,-74.73,50.57,-201.14,-294.79,-347.98,-389.34,271,2.5,4.8,97.2,1027.6,28.83,0.0306288,165.064,0.563886,12.467,5.91,NA,"0",-34.936,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",190,2010-04-08 21:00:00,8.46,0,8.19,0,7.66,0,6.73,0,6.12,0,5.95,0,455.95,446.15,441.67,443.22,447.43,466.66,33.53,415.21,64.27,-173.68,-188.12,-124.25,-74.93,50.63,-201.31,-294.88,-348.04,-389.25,276,2,5.5,94.3,1027.8,28.83,0.0269195,165.014,0.564049,NA,NA,NA,"0",-34.986,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",191,2010-04-08 22:00:00,8.21,0,8.09,0,7.7,0,6.74,0,6.11,0,5.92,0,457.1,446.46,442.3,443.32,447.54,466.82,33.51,415.53,63.89,-174.66,-189.8,-124.38,-75.15,50.52,-201.43,-294.98,-347.82,-389.26,300,3,5.8,95.1,1027.8,28.83,0.0137346,164.994,0.56425,NA,NA,NA,"0",-35.006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",192,2010-04-08 23:00:00,8.02,0,8.08,0,7.71,0,6.77,0,6.1,0,5.97,0,457.88,446.74,442.86,443.5,447.77,467.13,32.97,415.96,63.58,-174.88,-189.6,-124.5,-75.47,50.47,-201.57,-294.66,-347.84,-389.26,284,3.4,5.7,96.1,1027.7,28.83,0.027401,164.938,0.56423,NA,NA,NA,"0",-35.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",193,2010-04-09 00:00:00,7.81,0,8.06,0,7.73,0,6.74,0,6.16,0,6.01,0,458.5,447.06,443.36,443.64,447.88,467.41,32.27,416.39,63.16,-176.31,-189.8,-124.66,-76.02,50.24,-201.71,-294.17,-347.73,-389.36,289,3.4,5.7,97.3,1027.8,28.83,0.0237612,164.872,0.564156,NA,NA,NA,"0",-35.128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",194,2010-04-09 01:00:00,7.73,0,8.03,0,7.7,0,6.74,0,6.12,0,5.96,0,458.65,447.24,443.74,443.77,448,467.72,32.06,416.65,62.67,-177.32,-190.8,-124.84,-76.3,50.19,-201.84,-293.77,-347.8,-389.39,295,3.9,6.5,95.7,1028.1,28.83,0.0252727,164.817,0.564256,12.463,6.56,NA,"0",-35.183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",195,2010-04-09 01:58:00,7.69,0,7.88,0,7.73,0,6.77,0,6.13,0,5.96,0,458.49,447.38,444.04,443.89,448.17,468.02,32.14,417.09,62.03,-177.47,-190.61,-125.02,-76.34,50.05,-201.92,-293.52,-347.89,-389.41,317,3.3,6.4,95.6,1028.1,28.83,0.0274708,164.77,0.564258,12.459,7.01,NA,"0",-35.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",196,2010-04-09 03:00:00,7.62,0,7.86,0,7.73,0,6.79,0,6.18,0,5.97,0,458.47,447.57,444.16,444,448.28,468.23,31.74,417.6,61.54,-177.05,-191.31,-125.29,-76.56,50.01,-202.1,-293.19,-346.86,-389.45,278,2.1,6.4,95.9,1028.1,28.83,0.0206035,164.738,0.56425,12.448,7.09,NA,"0",-35.262,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",197,2010-04-09 04:00:00,7.64,0,7.81,0,7.68,0,6.8,0,6.17,0,5.97,0,458.44,447.72,444.34,444.16,448.51,468.59,31.77,418.11,61.07,-178.15,-191.19,-125.44,-76.91,50.02,-202.02,-293.05,-346.23,-389.44,277,2.5,6.3,95,1028.3,28.83,0.019848,164.699,0.564316,NA,NA,NA,"0",-35.301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",198,2010-04-09 05:00:00,7.57,0,7.81,0,7.67,0,6.83,0,6.18,0,5.93,0,458.63,447.92,444.27,444.3,448.64,468.8,31.17,418.69,60.83,-179.41,-192.12,-125.54,-77.34,49.89,-202.16,-292.04,-346.06,-389.39,279,3.9,6.1,96.6,1028.5,28.83,0.0458061,164.655,0.564208,NA,NA,NA,"0",-35.345,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",199,2010-04-09 06:00:00,7.51,0,7.7,0,7.58,0,6.82,0,6.18,0,6.02,0,458.8,448.07,444.32,444.46,448.81,469.14,30.59,419.24,60.42,-180.85,-192.56,-125.71,-77.67,49.85,-202.18,-291.97,-345.91,-389.38,277,3.4,5.7,97.3,1028.9,28.83,8.53616,164.608,0.564353,NA,NA,NA,"0",-35.392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",200,2010-04-09 07:00:00,7.42,0,7.68,0,7.58,0,6.84,0,6.21,0,5.96,0,458.96,448.2,444.6,444.53,449.17,469.37,30.11,419.68,59.98,-182.12,-193.73,-125.9,-77.84,49.79,-202.15,-291.71,-345.7,-389.43,294,1.5,5.8,98.1,1029.4,28.83,82.0687,164.548,0.564496,NA,NA,NA,"0",-35.452,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",201,2010-04-09 08:00:00,7.42,0,7.64,0,7.55,0,6.8,0,6.19,0,5.96,0,458.79,448.31,444.68,444.59,449.17,469.58,30.11,420.13,59.49,-183.09,-194.99,-126.01,-78.14,49.64,-202.32,-291.86,-345.68,-389.4,323,2.3,7.7,89.2,1029.7,28.83,153.413,164.442,0.564386,NA,NA,NA,"0",-35.558,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",202,2010-04-09 09:00:00,7.53,0,7.61,0,7.58,0,6.85,0,6.17,0,5.99,0,458.16,448.79,445.23,445.13,449.73,470.3,30.53,421.07,59.64,-183.73,-194.39,-125.66,-77.99,50.17,-201.91,-290.83,-345.09,-388.86,296,3.9,9.5,80.3,1030,28.83,215.7,164.386,0.564834,13.326,13.62,NA,"0",-35.614,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",203,2010-04-09 10:00:00,7.84,0,7.63,0,7.54,0,6.85,0,6.19,0,5.98,0,455.84,448.63,444.94,445.1,449.73,470.41,30.37,421.37,59.3,-184.58,-194.43,-125.91,-78.26,50.1,-202.01,-290.29,-344.7,-388.83,292,5.5,10.3,78,1030,28.83,48.163,164.319,0.563941,NA,NA,NA,"0",-35.681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",204,2010-04-09 11:00:00,8.27,0,7.63,0,7.5,0,6.87,0,6.21,0,5.96,0,453.92,448.45,444.68,445.09,449.78,470.54,30.57,421.66,58.99,-185.56,-194.52,-126.12,-78.45,50.06,-202.08,-290.26,-344.49,-388.72,312,3.3,10.4,76.8,1030.3,28.83,346.896,164.252,0.56379,NA,NA,NA,"0",-35.748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",205,2010-04-09 12:00:00,8.62,0,7.58,0,7.51,0,6.89,0,6.21,0,6.03,0,292.05,448.28,444.3,445.19,449.88,470.77,30.21,422.3,59.03,-186.28,-194.95,-126.18,-78.55,50.17,-201.92,-290.42,-343.75,-388.48,310,5.5,11.1,71.8,1030.6,28.83,453.198,164.198,0.563777,NA,NA,NA,"0",-35.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",206,2010-04-09 13:00:00,9.03,0,7.7,0,7.52,0,6.81,0,6.23,0,5.98,0,291.36,447.94,443.55,444.99,449.79,470.64,29.76,422.5,58.83,-187.24,-195.68,-126.4,-78.93,49.89,-202.4,-290.72,-343.28,-388.62,291,5.3,10.6,77,1030.6,28.83,482.75,164.141,0.56356,NA,NA,NA,"0",-35.859,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",207,2010-04-09 14:00:00,9.37,0,7.81,0,7.53,0,6.86,0,6.25,0,5.99,0,308.2,447.81,442.62,444.98,449.84,470.59,29.22,422.95,58.6,-188.28,-195.74,-126.51,-79.27,50.01,-202.62,-289.77,-342.8,-388.61,293,4.1,11.7,69.1,1030.5,28.83,576.245,164,0.563634,NA,NA,NA,"0",-36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",208,2010-04-09 15:00:00,9.59,0,7.95,0,7.47,0,6.84,0,6.21,0,5.98,0,399.95,447.15,441.38,444.43,449.26,470.1,28.26,422.93,58.09,-190.93,-196.37,-127.15,-79.91,49.5,-202.81,-290.2,-341.94,-388.92,294,5.3,11.2,74.7,1030.5,28.83,576.253,163.927,0.563781,13.021,18.84,NA,"0",-36.073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",209,2010-04-09 16:00:00,9.77,0,8.1,0,7.55,0,6.83,0,6.22,0,6.02,0,421.73,446.66,440.46,443.94,448.74,469.56,28.27,422.98,57.68,-192.14,-197.06,-127.44,-80.18,49.13,-202.86,-290.41,-342.61,-389.09,322,4.4,10,75.3,1030.6,28.83,110.827,163.936,0.563634,NA,NA,NA,"0",-36.064,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",210,2010-04-09 17:00:00,9.71,0,8.19,0,7.59,0,6.85,0,6.22,0,6.03,0,428.78,446.51,440.3,443.83,448.78,469.44,28.55,423.39,57.4,-192.69,-197.89,-127.38,-80.59,49.05,-202.99,-290.13,-343.02,-389.09,318,3.8,9.2,79.4,1030.5,28.83,97.3785,163.917,0.564202,NA,NA,NA,"0",-36.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",211,2010-04-09 18:00:00,9.56,0,8.28,0,7.62,0,6.86,0,6.23,0,6,0,432.97,446.75,440.7,443.92,448.87,469.47,28.49,423.8,57.48,-193.63,-198.31,-127.37,-80.67,49.1,-203,-290.01,-342.31,-389.01,319,2.7,8.8,77.4,1030.6,28.83,115.823,163.787,0.565145,NA,NA,NA,"0",-36.213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",212,2010-04-09 19:00:00,9.3,0,8.4,0,7.7,0,6.88,0,6.26,0,5.99,0,435.56,446.98,440.89,443.92,448.92,469.45,28.12,424.25,57.52,-194.55,-198.77,-127.26,-80.83,49.22,-203,-289.75,-340.96,-388.95,317,4,8.1,78.1,1030.6,28.83,12.8281,163.787,0.564992,NA,NA,NA,"0",-36.213,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",213,2010-04-09 20:00:00,9.1,0,8.43,0,7.74,0,6.84,0,6.22,0,6.06,0,437.3,447.22,441.52,443.97,449.05,469.5,28.33,424.64,57.66,-196,-199.3,-127.24,-80.75,49.16,-202.86,-289.89,-339.97,-388.83,320,2.2,7.7,82.9,1030.7,28.83,0.0406576,163.729,0.564757,NA,NA,NA,"0",-36.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",214,2010-04-09 21:00:00,8.91,0,8.39,0,7.78,0,6.83,0,6.23,0,6.02,0,438.92,447.45,442.14,444,449.14,469.5,28.64,424.99,57.9,-196.85,-199.7,-128.43,-81.05,49.09,-203.01,-289.52,-340.47,-388.77,336,4.7,7.6,84.4,1030.8,28.83,0.0346136,163.678,0.564958,12.571,8.34,NA,"0",-36.322,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",215,2010-04-09 22:00:00,8.73,0,8.43,0,7.81,0,6.85,0,6.28,0,6.04,0,439.73,447.68,442.38,444.05,449.22,469.61,28.67,425.32,58.05,-197.31,-200.23,-127.97,-81.14,48.99,-202.99,-289.17,-338.98,-388.86,329,2.7,7.5,82,1030.8,28.83,0.0282958,163.613,0.564772,NA,NA,NA,"0",-36.387,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",216,2010-04-09 23:00:00,8.59,0,8.34,0,7.87,0,6.88,0,6.23,0,6.04,0,439.91,447.88,442.78,444.1,449.29,469.67,28.27,425.6,58.1,-197.91,-201.04,-127.84,-81.35,49,-203.08,-288.94,-340.43,-388.85,323,3.6,7.1,87.1,1030.8,28.83,0.0301495,163.536,0.564774,NA,NA,NA,"0",-36.464,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",217,2010-04-10 00:00:00,8.45,0,8.28,0,7.85,0,6.88,0,6.26,0,6.03,0,440.08,448.07,443.21,444.16,449.38,469.81,28.21,425.94,58.23,-198.8,-201.82,-127.86,-81.66,48.95,-203.27,-288.73,-341.27,-388.76,332,2.9,6.7,87.9,1030.9,28.83,0.0306997,163.526,0.565163,NA,NA,NA,"0",-36.474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",218,2010-04-10 01:00:00,8.31,0,8.28,0,7.82,0,6.88,0,6.28,0,6.03,0,439.53,448.18,443.66,444.09,449.55,469.96,27.76,426.29,58.42,-199.72,-201.79,-127.96,-82.01,48.79,-203.42,-288.52,-341.43,-388.93,311,3.2,6.4,87,1030.7,28.83,0.0262345,163.497,0.565126,12.56,7.38,NA,"0",-36.503,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",219,2010-04-10 02:00:00,8.2,0,8.25,0,7.86,0,6.88,0,6.27,0,6.01,0,379.23,448.35,444.19,444.31,449.75,470.21,26.86,426.69,58.79,-200.78,-203.51,-128.09,-81.98,48.81,-203.35,-288.07,-341.73,-388.88,324,3.5,6.3,85.6,1030.5,28.83,0.02493,163.455,0.565305,12.534,7.23,NA,"0",-36.545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",220,2010-04-10 03:00:00,8.1,0,8.18,0,7.83,0,6.94,0,6.32,0,6.05,0,357.24,448.55,444.52,444.49,449.95,470.48,26.25,427.05,59.27,-201.89,-203.34,-128.2,-82.15,48.69,-203.44,-285.82,-341.91,-388.9,337,3,6,81.8,1030.1,28.83,0.0289134,163.418,0.565381,NA,NA,NA,"0",-36.582,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",221,2010-04-10 04:00:00,7.99,0,8.1,0,7.82,0,6.91,0,6.29,0,6.08,0,272.9,448.76,444.88,444.65,450.16,470.74,25.74,427.48,59.99,-202.56,-203.85,-128.31,-82.49,48.51,-203.6,-285.68,-342.34,-388.91,330,3.6,5.8,85.2,1030.1,28.83,0.0314536,163.337,0.565465,NA,NA,NA,"0.01",-36.663,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",222,2010-04-10 05:00:00,7.9,0,8.05,0,7.8,0,6.91,0,6.28,0,6.04,0,276.57,448.98,445.27,444.79,450.32,470.97,25.57,427.95,60.71,-203.54,-204.26,-128.44,-82.61,48.55,-203.52,-286.12,-342.28,-388.91,348,2.2,5.7,86.8,1030.3,28.84,0.0438142,163.326,0.565485,NA,NA,NA,"0",-36.674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",223,2010-04-10 06:00:00,7.76,0,8.04,0,7.78,0,6.95,0,6.28,0,6.06,0,274.77,449.15,445.51,444.9,450.4,471.22,25.04,428.27,61.74,-204.97,-204.59,-128.54,-83.16,48.44,-203.76,-286.11,-342.63,-388.95,347,3.1,5.7,86.6,1030.4,28.84,11.4529,163.293,0.565588,NA,NA,NA,"0",-36.707,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",224,2010-04-10 07:00:00,7.69,0,7.96,0,7.78,0,6.92,0,6.3,0,6.04,0,271.48,449.31,445.63,444.99,450.45,471.44,24.48,428.71,62.94,-205.53,-205.24,-128.71,-83.35,48.39,-203.85,-286.5,-342.86,-389.01,331,3,5.8,85,1030.6,28.84,55.1916,163.206,0.565884,NA,NA,NA,"0",-36.794,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",225,2010-04-10 08:00:00,7.68,0,7.83,0,7.8,0,6.97,0,6.28,0,6.04,0,274.39,449.29,445.85,445.07,450.6,471.69,23.98,429.34,64.43,-206.35,-205.75,-128.83,-83.62,48.3,-203.92,-286.77,-343.09,-388.97,339,2.4,6.5,81.8,1030.6,28.84,162.898,163.125,0.56583,13.616,8.14,NA,"0",-36.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",226,2010-04-10 09:00:00,7.67,0,7.93,0,7.72,0,6.95,0,6.33,0,6.04,0,264.65,449.83,446.29,445.63,451.23,472.42,24.44,430.44,66.71,-206.68,-205.67,-128.46,-83.32,49.03,-203.46,-285.78,-342.63,-388.35,344,2.8,7.9,78.2,1030.6,28.84,227.291,163.039,0.566318,NA,NA,NA,"0",-36.961,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",227,2010-04-10 10:00:00,7.94,0,7.88,0,7.72,0,6.94,0,6.31,0,6.04,0,278.14,449.88,446.21,445.76,451.37,472.6,24.04,431.09,69.34,-207.56,-207.76,-128.52,-83.57,48.84,-203.53,-285.5,-342.78,-388.27,314,3.2,9,73.8,1030.5,28.84,48.8313,162.962,0.565098,NA,NA,NA,"0",-37.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
