year,time,st10,mp10,st20,mp20,st30,mp30,st60,mp60,st100,mp100,st150,mp150,eh10a,eh10b,eh10c,eh20a,eh20b,eh20c,eh30a,eh30b,eh30c,eh60a,eh60b,eh60c,eh100a,eh100b,eh100c,eh150a,eh150b,eh150c,wd,ws,at,rh,ap,pp,sr,wt,ec,bat,lt,wt_2,oxy10,oxy20,oxy30,oxy60,oxy80,oxy100,oxy125,oxy150,bat_oxy,month,day,hour
2010,3300.5,11.51389902676399,1.4160427311435524,11.416935827250608,1.0870138381995134,11.298965936739659,1.2023438260340633,11.113965936739659,0.6916887165450122,10.818676000608736,0.5626588038350328,10.562722568863187,0.3064139400395678,607.6497414841849,656.5638381995134,617.3016864355232,656.5090967153285,651.8755717761558,711.6522262773723,606.1825988442822,631.9396928223845,512.3136389902677,341.98484032846716,255.28190085158153,451.6176870437956,373.06042731143555,429.5140982360097,317.52717609489054,-136.2303588807786,-140.60512925790755,-122.37601125304137,200.0248265227448,2.623947571318427,10.375281418658442,82.70769468003084,1013.3022050886661,305.2350948342328,122.21269272731935,109.56016867726385,0.5769303201180158,12.72304133118626,12.188803005904456,-90.43983132274938,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.007272727272728,15.781818181818181,11.498939393939393
2011,10980.5,9.400850942318675,0.9416098229583095,9.34994517418618,0.6948748143917761,9.34489206167904,0.5822407766990292,9.060628212450029,0.47146601941747573,9.213149057681324,0.4052031981724729,9.18438263849229,0.0228950314106225,616.596339234723,629.3802364363221,445.33726670474016,641.1945631067961,653.1396379211878,719.9226396344945,607.6747766990292,625.0191673329526,542.7677681324957,344.5289583095374,2.5765950885208517,254.28695145631067,324.76612678469445,387.35968703597945,337.10522672758424,-169.94153283837807,-170.37547801256426,-150.8860331239292,200.52929754426043,3.1574643061107937,9.815316961736151,82.54527698458024,1015.6734437464306,97.45086693318105,99.98089283849994,130.9289972358652,0.5072394856898239,12.62666794038976,11.087401604891097,-69.07100276413478,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5260273972602745,15.72054794520548,11.5
2012,19752.5,9.919499121265378,0.7515763243786091,9.85776675872458,0.5076954556866683,9.886688425809691,0.470742028621642,9.250957820738137,0.3464838061762491,9.629797891036906,0.20887346221441125,9.566294250564901,0,578.7739517951293,645.5766821491338,463.13950163193573,604.4745091639468,666.4139681144866,702.9456703489832,573.5445593773537,601.8569796635702,521.0992618629174,389.2914323374341,-62.87417022344966,118.56727968867688,254.4399510419282,301.75834421290483,334.21135576198844,-192.02900828521214,-190.76482927441626,-175.3053791112227,208.32902334923423,2.994325885011298,10.065716796384635,81.6192568415767,1014.9128295254833,40.31670725583731,108.72771367527127,130.8391339191564,0.5182334822277564,12.724825322812052,11.439580344332855,-69.16086608084359,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5136612021857925,15.756830601092895,11.499886156648452
2013,28524.5,9.305624624984999,0.6814052562102484,9.374952598103924,0.45743909756390255,9.33628825153006,0.48067934717388694,8.56571942877715,0.45245457818312734,9.08888155526221,0.33943969758790354,9.04529941197648,0.02450498019920797,563.0425453018121,639.2322848913957,458.2038917556702,579.1005712228489,630.8558046321853,690.4986835473419,584.7770982839313,619.3953846153846,594.2187975519021,441.67315252610103,93.48565942637704,311.1021288851554,289.23791791671664,312.3720232809312,344.0111916476659,-210.34197647905916,-205.97935077403096,-180.33223208928356,190.6483859354374,2.651842073682947,9.352106084243369,82.04824192967719,1014.9998679947198,55.30615624624985,102.33454015138378,123.19389539181567,0.6332779817830527,12.723216076696165,10.405545722713864,-76.81293911425828,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5260273972602745,15.72054794520548,11.499200913242008
2014,37284.5,10.67054875957471,1.0782979307191036,10.685571052932435,0.6969304904538699,10.70380130330399,0.9723526923516634,9.644695324111124,0.6442278495484166,10.37818566365611,0.48047833542929,10.187248199382646,0.10292511718303418,580.0340608208529,622.6845215502458,468.727392248771,535.7355321824625,635.5189596433063,630.3052200754545,556.2973648107923,601.6952440836858,542.9903246827483,483.55033497199037,373.34742768949354,515.5955481879502,376.8986646850349,402.5960432148165,403.6718817880416,-217.38040928318281,-214.08137875843147,-176.6290431004916,182.16405624785642,2.9139476391905794,10.927186463930491,82.43796730307534,1013.438436035212,52.01330856293586,110.85806420225624,104.4267723928204,0.5566207234042553,12.875995987516719,12.261194828354881,-95.5732276071796,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5260273972602745,15.72054794520548,11.499885844748858
2015,46044.5,9.76969632591852,0.645824543864034,9.833030492376906,0.22135253686578357,9.822259435141214,0.22270194951262184,8.971719570107473,0.12788102974256435,9.827900524868783,0.11232004498875281,9.633685328667832,0.027771432141964508,599.8497150712321,626.1566545863534,489.05504373906524,578.8026830792302,647.4510247438141,598.0993389152712,588.4181304673832,613.2554661334666,505.57125343664086,419.87191702074483,216.70562109472633,177.33673331667083,225.45283304173955,166.09524368907773,256.58677830542365,-217.96890277430643,-220.9541039740065,-118.9130654836291,205.3887778055486,3.181804548862784,9.730942264433892,84.31230942264433,1015.7575231192202,51.00302799300175,81.24807214970588,145.55211421323528,0.5975848991784914,12.791011500862565,10.65215641173088,-54.44788578676471,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5260273972602745,15.72054794520548,11.499885844748858
2016,54816.5,9.472342693409741,1.2642176504297995,9.937269914040115,1.4793672206303725,9.577614899713467,1.2684899713467048,9.107500286532952,1.0054365616045846,10.077449002979602,0.5858841393536557,9.822713729085491,0.06674707769883108,599.7818909007564,610.7409316983727,553.4971922988769,569.2319688287876,639.9112319504928,642.4092505157003,606.9360703644281,594.5016468026587,596.6763958285584,469.34491290396517,238.21973756589503,512.2567258766903,425.4588242035297,389.61179463671783,428.80285468714186,-206.40408205363283,-227.58578615631447,-172.84756589502635,191.32661013064404,2.6096722438688977,10.179131331652533,85.04320421728168,1015.422644969058,48.231305294522116,104.54788845599359,99.86684714645887,0.5616444799407517,12.794562949640287,11.474811151079138,-100.13315285354113,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5136612021857925,15.756830601092895,11.5
2017,63588,9.176320122309773,0.9709515465129954,9.76182406209573,1.0901497118664,9.266974009173232,0.774196048453487,8.915808045165843,0.6089676546694895,9.855391038457014,0.3873670469246148,9.56110784429025,0.03887157473832765,588.2851029048571,607.9364259673057,587.9185687404446,595.0803963307068,625.5121604139715,604.4967917205693,548.5005762671998,567.473049511937,562.3888827472657,355.78549100317537,306.6832800188169,482.5822674350229,376.2776914030342,282.45910266964603,382.3771010231683,-203.15157709043868,-226.85511584146772,-168.8344431377161,210.3320004704222,2.745548629895331,10.36216629424909,86.11293661060802,1014.9870163471716,49.82242502646125,103.95854365412207,121.70014031518288,0.5266124090897331,12.774023373052245,11.552199816681943,-78.29985968481712,14.551660342995902,15.732388829867961,3.957978448930035,2.6312460160874185,2.409889209288208,2.0296190620731522,0.10971012293215966,0.219787524662316,13.290431021399302,6.52563077976938,15.71903185295125,11.501084598698482
2018,72347.5,9.10594743486744,1.4113961896017444,9.764111098358775,1.622256628027086,9.216948238264662,1.6177499139217262,8.954822678755882,1.5966430620911283,9.961856995294388,1.0983114885802823,9.549822104900723,0.7340990474004361,636.9828968208424,660.733353609549,578.9399047400436,639.9107230575003,671.8752002754504,654.3802524962699,589.8299540915873,589.1320566968897,603.1905141742225,406.50089291862736,437.7272386089751,456.56307815907263,502.3066877080225,489.31890278893604,515.7473074715941,-130.12141856995294,-167.7585974979915,-119.37384253414439,187.69849649948353,2.143027659818662,10.334132904854815,79.82173763342132,1015.2514288993458,47.19614484104212,99.5666607981546,68.38640035911855,0.29161567581544817,12.672267816613708,12.148801089918257,-131.61359964088143,17.920297291092744,16.572040863177225,11.823468778696052,97.44349862258953,12.07199839302112,10.6440564738292,5.989308999081726,3.8155773645546374,13.247664141414141,6.5260273972602745,15.72054794520548,11.5
2019,81107.5,8.948106164383562,1.0631786529680365,9.582081050228311,1.2396503424657535,9.131723744292238,1.1232771689497718,9.03905593607306,0.9106125570776256,10.127116438356165,0.6182527397260273,9.729309360730593,0.21099600456621004,646.4353984018264,657.3671278538812,679.4214851598174,681.9305228310502,682.0163253424657,654.4360216894977,656.1511232876712,659.4468641552511,647.8132671232877,559.5072705479452,494.2444029680365,583.1698333333334,548.3394885844749,539.0133493150685,528.0462659817351,-143.42656735159818,-167.39517579908676,-123.73856164383562,201.7714611872146,2.6671461187214613,10.265182648401826,79.28770547945206,1013.3877283105023,44.853134703196346,98.14809576664395,97.8198116913242,0.6846044976656392,12.70556046931408,12.015929602888086,-102.1801883086758,18.97219481557611,20.474773324197784,11.439442731529063,391.0091184195501,14.557778919721365,7.5904122416352635,0.5477092611624986,1.1663640516158502,13.257840584675117,6.5260273972602745,15.72054794520548,11.5
