sample;lab_number;site_number;site_name;replicate;depth;som;wsc;wsc_ma;wsc_som;hwsc;hwsc_ma;hwsc_som;wsc_hwsc_som;N;C_N;ph_h2o;ph_cacl2;delta_ph;ph_naf;mat_amorph;melanic_index;index;bs;Ca;Mg;K;Na ;Al;Fe;Mn;H;Fed;Feo;Feo_Fed;Fepyro;Mno;Alo;Sio;Alpyro;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;(SO3);(Cl);(F);LOI;Sum_RF;(As);Ba;Bi;Ce;Co;Cr;Cs;Cu;Ga;Hf;La;Mo;Nb;Nd;Ni;Pb;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Th;U;V;W;Y;Zn;Zr;xrd_main;xrd_trace
#31;#3267;4;PA2;B;0-30;167.2;1.241;32;0.007;4.238;39;0.025;0.033;10.61;15.8;4.92;4.09;0.83;11.3;dominant;1.63;melanic;16.4;8.3;3;3.9;1.7;85.3;0.8;0.3;0;8.33;6.86;0.82;5.62;0;18.5;2.02;14.9;38.56;0.306;10.64;3.01;0.046;1.13;2.057;1.87;0.872;0.173;0.02;<0.002;<0.05;41.22;99.9;<2;350;<5;<45;<6;18;<57;28;13;<14;<34;<6;4;<30;9;6;22;<77;<21;<34;<31;194;<9;<6;<7;63;<9;11;35;78;;
#32;#3268;4;PA2;B;30-60;117.3;0.479;32;0.004;2.013;35;0.017;0.021;7.56;15.5;5.25;4.27;0.98;11.5;dominant;1.62;melanic;11.5;3.4;0.9;0.8;0.5;42.7;0.6;0.1;0;9.26;8.09;0.87;6.56;0;22.2;6.09;15.14;42.8;0.372;13.38;3.9;0.053;1.55;2.745;2.26;0.811;0.139;0.02;0.003;<0.05;31.84;99.88;3;356;<5;<48;6;27;<60;32;16;<15;<37;<6;7;<32;10;6;19;<81;<22;<36;<32;246;<9;<6;<8;81;<9;14;43;90;;
#33;#3269;4;PA2;B;60-90;114;0.334;31;0.003;1.418;36;0.012;0.015;7.04;16.2;5.33;4.33;1;11.4;dominant;1.58;melanic;16;4.7;1.1;1;0.8;38.8;0.7;0.1;0;9.81;8.99;0.92;5.58;0;25.2;7.9;14.92;43.29;0.416;13.84;3.83;0.052;1.47;2.684;2.18;0.83;0.142;0.02;<0.002;<0.05;31.15;99.86;3;378;<5;<47;8;27;<60;26;16;<15;<36;<6;6;<32;8;6;19;<81;<22;<36;<32;241;<10;<6;<8;79;<9;13;51;92;;
#34;#3270;4;PA2;C;0-30;174.9;1.301;32;0.007;4.348;37;0.025;0.032;10.72;16.3;4.87;4.06;0.81;11.2;dominant;1.62;melanic;11.6;4.9;2.9;3.9;1.7;102;0.5;0.7;0;9.41;7.37;0.78;5.9;0;18.1;2.2;15.25;38.39;0.308;10.73;2.96;0.048;1.01;1.867;1.82;0.903;0.186;0.02;0.005;<0.05;41.67;99.87;<2;394;<5;<45;7;18;<57;30;14;<14;<34;<6;4;<30;10;10;23;<77;<21;<33;<30;188;<9;<6;<7;61;<9;10;36;80;;
#35;#3271;4;PA2;C;30-60;138.3;0.644;33;0.005;2.572;35;0.019;0.023;8.57;16.1;5.07;4.25;0.82;11.3;dominant;1.61;melanic;9.9;3.2;1.5;1.9;1.1;68.7;0.7;0.2;0;8.45;7.74;0.92;6.86;0;20.6;4.06;16.56;40.98;0.35;12.35;3.52;0.05;1.36;2.415;2.11;0.861;0.155;0.02;0.003;<0.05;35.73;99.88;<3;371;<5;<46;<6;22;<59;32;15;<14;<35;<6;5;<31;10;8;20;<79;<21;<35;<31;222;<9;<6;<8;78;<9;13;40;84;;
#36;#3272;4;PA2;C;60-90;112;0.395;34;0.004;1.547;37;0.014;0.017;7.01;16;5.24;4.37;0.87;11.5;dominant;1.6;melanic;13.8;2.9;0.9;1.1;0.8;35.2;0.6;0.2;0;9.73;9.62;0.99;6.52;0;25.8;7.23;15.67;43.48;0.406;14;4.01;0.053;1.6;2.83;2.26;0.799;0.144;0.02;0.003;<0.05;30.28;99.87;<3;372;<5;<47;8;27;<61;29;16;<15;<36;<6;3;<32;10;7;17;<81;<22;<36;<32;247;<10;<6;<8;86;<9;14;50;95;;
#37;#3273;5;AC2;A;0-30;51.8;0.326;315;0.006;1.987;202;0.038;0.045;5.18;10;5.73;5.11;0.62;8.8;not dominant;1.82;fulvic;98.8;133.3;44.5;9.3;1.2;0.4;0;1.9;0;10.53;6.69;0.64;3.71;0.31;4.0;0.98;5.47;55.28;0.498;14.4;4.14;0.11;1.56;3.462;2.52;0.917;0.302;0.01;0.003;<0.05;16.63;99.79;3;576;<6;<52;11;24;<65;30;17;<16;<40;<7;8;<36;12;10;35;<88;<23;<40;<35;400;<10;7;<9;90;<10;13;82;129;"quartz; feldspars; amphibole; amorphous phases";-
#38;#3274;5;AC2;A;30-60;32.5;0.141;367;0.004;0.7;258;0.022;0.026;2.89;11.2;5.74;4.92;0.82;8.9;not dominant;1.71;fulvic;98.9;99.5;26.7;9.8;1.1;0.8;0;0.6;0;10.43;6.87;0.66;3.68;0.41;4.2;1.16;6.46;58.45;0.509;14.97;4.41;0.112;1.62;3.534;2.61;0.968;0.237;0.01;0.004;<0.05;12.35;99.81;<3;610;<6;<53;10;22;<66;30;19;<16;<40;<7;6;<36;12;12;31;<89;<24;<40;<35;397;<10;8;<9;87;<10;12;79;115;"quartz; feldspars; amphibole; amorphous phases";-
#39;#3275;5;AC2;A;60-90;32.6;0.107;325;0.003;0.463;302;0.014;0.017;2.08;15.7;5.87;4.87;1;7.7;not dominant;1.62;melanic;98.9;117.3;23.9;11.9;1.4;1.3;0;0.4;0;10.48;8.58;0.83;4.36;0;5.2;6.82;6.65;57.51;0.576;15.5;4.5;0.09;1.58;3.668;2.72;0.906;0.192;0.01;0.004;<0.05;12.56;99.78;<3;644;<6;<53;9;18;<66;26;19;<17;<40;<7;7;<36;9;12;29;<88;<24;<41;<35;457;<11;10;<9;91;<10;16;77;125;"quartz; feldspars; amphibole; amorphous phases";-
#40;#3276;5;AC2;B;0-30;47.2;0.323;301;0.007;1.924;189;0.041;0.048;4.75;9.9;5.77;5.16;0.61;8.8;not dominant;1.82;fulvic;98.8;118.1;39.3;13.1;1.1;0.3;0;1.7;0;9.47;6.9;0.73;3.37;0.34;3.9;0.96;5.25;56.04;0.518;14.64;4.19;0.107;1.6;3.578;2.61;0.945;0.274;0.02;0.004;<0.05;15.27;99.8;4;586;<6;<52;7;22;<65;31;19;<16;<40;<7;8;<36;12;9;33;<87;<24;<40;<35;416;<10;<7;<9;91;<10;13;80;111;;
#41;#3277;5;AC2;B;30-60;31.3;0.12;364;0.004;0.686;280;0.022;0.026;2.52;12.4;6;5.02;0.98;8.8;not dominant;1.69;fulvic;99.4;119.2;27;11;1.2;0.4;0;0.5;0;10.71;6.73;0.63;4.29;0.24;3.6;0.84;6.85;57.67;0.561;15.49;4.54;0.1;1.6;3.692;2.68;0.93;0.206;0.01;0.003;<0.05;12.33;99.78;3;606;<6;<54;8;25;<67;38;19;<17;<40;<7;8;<37;10;11;36;<89;<24;<41;<35;451;<11;10;<9;86;<11;15;74;126;;
#42;#3278;5;AC2;B;60-90;28.8;0.109;570;0.004;0.388;338;0.013;0.017;1.72;16.7;6.03;4.93;1.1;8.7;not dominant;1.68;fulvic;99.7;134.6;27.4;13.1;1.5;0.3;0;0.2;0;11.49;7.92;0.69;5.27;0;5.6;1.84;10.81;53.4;0.709;17.78;5.29;0.08;1.61;3.721;2.76;0.818;0.144;<0.01;0.002;<0.05;13.45;99.73;3;779;<6;<53;9;21;<66;38;23;<17;<40;<7;11;<37;12;16;36;<89;<24;<41;<35;539;<11;<7;<9;99;<11;13;89;155;;
#43;#3279;5;AC2;C;0-30;45;0.315;302;0.007;1.828;203;0.041;0.048;4.61;9.8;5.73;5.05;0.68;8.6;not dominant;1.79;fulvic;98.7;108.7;31.9;15.4;1.4;0.6;0;1.5;0;9.59;8.28;0.86;3.15;0.38;3.9;0.95;3.32;56.2;0.517;14.74;4.27;0.111;1.58;3.513;2.56;0.971;0.258;0.01;0.003;<0.05;15.02;99.76;9;683;<6;<52;10;23;<65;38;18;<16;<40;<7;7;<36;12;236;32;<88;<23;<40;<35;424;<10;8;<9;85;<10;15;91;115;;
#44;#3280;5;AC2;C;30-60;32.5;0.141;393;0.004;0.535;357;0.016;0.021;2.66;12.3;5.83;5.08;0.75;8.9;not dominant;1.71;fulvic;99.5;126;22.7;10.1;1.4;0.3;0;0.5;0;10.73;7.74;0.72;4.35;0.23;3.8;0.98;6.12;56.71;0.607;15.98;4.74;0.097;1.63;3.783;2.76;0.911;0.187;0.01;<0.002;<0.05;12.33;99.74;<3;834;<6;<53;10;21;<66;28;21;<17;<40;<7;7;<36;13;13;34;<89;<24;<41;<35;507;<11;8;<9;93;15;15;80;136;;
#45;#3281;5;AC2;C;60-90;31.3;0.114;400;0.004;0.433;281;0.014;0.018;2.03;15.4;5.9;5.04;0.86;8.8;not dominant;1.72;fulvic;99.5;126.2;22.4;9.7;1.4;0.3;0;0.5;0;15.57;9.4;0.6;6.11;0.35;8.9;3.73;11.73;51.56;0.688;18.79;5.43;0.097;1.45;3.27;2.4;0.803;0.155;0.01;0.004;<0.05;15.06;99.72;4;1077;<6;<53;12;22;<65;35;24;<17;<40;<7;12;<36;14;17;28;<88;<24;<41;<35;534;<11;11;<9;109;<11;15;88;168;;
