sample;lab_number;site_number;site_name;replicate;depth;som;wsc;wsc_ma;wsc_som;hwsc;hwsc_ma;hwsc_som;wsc_hwsc_som;N;C_N;ph_h2o;ph_cacl2;delta_ph;ph_naf;mat_amorph;melanic_index;index;bs;Ca;Mg;K;Na ;Al;Fe;Mn;H;Fed;Feo;Feo_Fed;Fepyro;Mno;Alo;Sio;Alpyro;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;(SO3);(Cl);(F);LOI;Sum_RF;(As);Ba;Bi;Ce;Co;Cr;Cs;Cu;Ga;Hf;La;Mo;Nb;Nd;Ni;Pb;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Th;U;V;W;Y;Zn;Zr;xrd_main;xrd_trace
#11;#3247;2;AC1;A;30-60;94.2;0.097;57;0.001;0.809;48;0.009;0.01;5.68;16.6;4.85;4.3;0.55;11.5;dominant;1.56;melanic;42.4;19.4;2;3.4;0.6;33.9;0.5;0.2;0;12.18;8.76;0.72;5.48;0;25.2;8.16;15.26;47.13;0.408;14.19;3.97;0.055;1.51;2.842;2.3;0.833;0.139;0.02;0.008;<0.05;26.49;99.85;3;410;<5;<49;7;25;<61;28;16;<15;<37;<6;3;<33;9;7;19;<83;<22;<37;<33;254;<10;<6;<8;85;<10;13;47;95;"quartz; feldspars; amphibole; amorphous phases; faujasite";-
#12;#3248;2;AC1;A;60-90;118.3;0.1;56;0.001;0.842;45;0.007;0.008;6.09;19.4;4.79;4.21;0.58;11.5;dominant;1.53;melanic;29.3;19.4;2.1;3.6;0.7;61.4;0.7;0.2;0;10.3;10.04;0.97;5.44;0;30.4;8.12;19.97;44.79;0.415;13.06;3.32;0.048;1.07;2.121;1.94;0.849;0.19;0.02;0.007;<0.05;32.06;99.87;3;423;<5;<48;<6;20;<61;22;16;<15;<37;<6;5;<32;8;11;19;<81;<22;<36;<32;236;<10;<6;<8;71;<9;13;50;96;"quartz; feldspars; amphibole; amorphous phases; faujasite";-
#13;#3249;2;AC1;B;0-30;110.6;0.178;99;0.002;1.532;63;0.014;0.015;6.58;16.8;5.03;4.4;0.63;11.4;dominant;1.59;melanic;60.8;48.6;3.2;4.2;0.5;35.6;0.4;0.4;0;10.26;8.61;0.84;5.44;0;24.4;6.74;14.49;44.34;0.394;13.21;3.72;0.055;1.46;2.802;2.21;0.819;0.199;0.02;0.005;<0.05;30.65;99.89;4;363;<5;<48;6;19;<61;29;17;<15;<37;<6;5;<33;9;7;18;<82;<22;<36;<32;255;<10;<6;<8;77;<9;13;48;90;;
#14;#3250;2;AC1;B;30-60;94.3;0.111;63;0.001;0.924;49;0.01;0.011;5.68;16.6;4.78;4.27;0.51;11.6;dominant;1.57;melanic;42.1;22;2.4;3.3;0.6;38;0.5;0.3;0;11.54;9.64;0.84;5.49;0;26.1;8.44;14.94;46.44;0.408;14.01;3.93;0.056;1.51;2.86;2.24;0.824;0.149;0.02;0.007;<0.05;27.43;99.85;3;393;<5;<49;8;73;<62;29;16;<15;<37;<6;5;<33;39;6;19;<83;<22;<37;<33;259;<10;<6;<8;81;<10;13;46;93;;
#15;#3251;2;AC1;B;60-90;114.8;0.097;49;0.001;0.843;43;0.007;0.008;6.12;18.7;4.72;4.22;0.5;11.5;dominant;1.53;melanic;30.9;21.7;3.4;3.8;0.8;65.1;0.7;0.3;0;9.37;8.42;0.9;5.53;0;28.0;7.58;19.57;44.4;0.408;13.1;3.16;0.049;1.09;2.15;1.93;0.837;0.189;0.02;0.005;<0.05;32.54;99.87;3;413;<5;<47;<6;16;<60;26;16;<15;<36;<6;8;<32;9;10;18;<81;<22;<35;<32;231;<9;<6;<8;64;<9;13;55;98;;
#16;#3252;2;AC1;C;0-30;104.6;0.154;93;0.001;1.494;61;0.014;0.016;6.28;16.6;5.07;4.39;0.68;11.6;dominant;1.59;melanic;56.2;40.2;3;5.1;0.6;37.2;0.5;0.4;0;10.13;8.83;0.87;5.68;0;25.5;7.39;14.83;45.07;0.39;13.48;3.8;0.056;1.52;2.854;2.35;0.817;0.173;0.03;0.021;<0.05;29.34;99.88;5;356;<5;<48;7;23;<61;28;16;<15;<37;<6;6;<33;11;<6;17;<83;<22;<37;<33;254;<10;<6;<8;85;<9;12;49;90;;
#17;#3253;2;AC1;C;30-60;90.8;0.096;71;0.001;0.839;53;0.009;0.01;5.43;16.7;4.86;4.34;0.52;11.4;dominant;1.57;melanic;46.8;22.4;2.6;3.7;0.6;32.5;0.4;0.4;0;9.83;8.84;0.9;4.88;0;27.2;8.96;14.02;47.21;0.41;14.13;3.79;0.057;1.45;2.752;2.27;0.856;0.147;0.03;0.002;<0.05;26.78;99.87;4;395;<5;<49;8;19;<63;30;16;<15;<38;<6;3;<34;9;8;18;<83;<22;<37;<33;258;<10;<6;<8;77;<10;13;46;93;;
#18;#3254;2;AC1;C;60-90;129.6;0.082;58;0.001;0.806;48;0.006;0.007;6.32;20.5;4.77;4.2;0.57;11.5;dominant;1.54;melanic;29.6;20.4;2.9;3.3;0.8;64;0.7;0.3;0;9.89;9.75;0.99;6.86;0;32.2;8.56;23.36;42.35;0.441;13.14;3.32;0.047;1.1;2.095;1.84;0.733;0.227;0.02;0.006;<0.05;34.59;99.87;<3;349;<5;<46;7;19;<59;26;17;<14;<36;<6;7;<32;9;14;17;<79;<21;<35;<31;240;<9;6;<8;70;<9;12;55;104;;
#19;#3255;3;PA3;A;0-30;165.9;0.74;74;0.004;4.229;50;0.025;0.03;9.63;17.2;4.96;3.98;0.98;11.2;dominant;1.6;melanic;10.1;10.4;5;4.9;1.5;112.5;0.5;1.9;0;6.78;6.59;0.97;5.95;0;17.9;1.39;16.53;40.39;0.265;9.49;2.63;0.054;0.94;1.756;1.7;0.826;0.176;0.02;0.006;<0.05;41.67;99.88;<2;335;<5;<44;<5;14;<57;27;11;<14;<34;<6;6;<30;6;6;21;<77;<21;<33;<30;171;<9;<6;<7;54;<9;13;32;71;"quartz; feldspars; amphibole; amorphous phases";-
#20;#3256;3;PA3;A;30-60;120.2;0.273;58;0.002;1.822;42;0.015;0.017;7.21;16.7;5.24;4.19;1.05;10.9;dominant;1.57;melanic;13.8;4.1;1.6;1.8;1;51.9;0.3;0.4;0;8.35;8.01;0.96;6.83;0;24.2;5.41;18.04;44.16;0.347;12.44;3.58;0.054;1.4;2.481;2.07;0.787;0.15;0.02;0.004;<0.05;32.4;99.89;3;348;<5;<47;<6;24;<60;32;14;<15;<36;<6;4;<32;11;6;18;<81;<22;<36;<32;222;<9;<6;<8;80;<9;10;41;85;"quartz; feldspars; amphibole; amorphous phases";faujasite
